classification,u,b,v,r,i,j,h,k,Vr,nuv,enuv,fuv,efuv
GC,14.75,14.56,13.81,13.21,12.68,11.85,11.13,11.04,-332.00,18.02,0.01,18.97,0.03
GC,15.52,15.05,14.16,13.57,12.93,11.95,11.23,11.07,-165.00,19.33,0.02,20.17,0.05
GC,15.88,15.40,14.22,13.56,12.57,11.66,10.91,10.77,-451.00,20.11,0.04,21.11,0.11
GC,15.21,15.06,14.25,13.62,13.23,12.44,11.78,11.69,-274.00,18.28,0.01,19.05,0.02
GC,15.76,14.97,14.47,13.29,13.23,12.22,11.51,11.38,-470.00,19.39,0.08,20.66,0.11
GC,15.90,15.56,14.70,14.15,13.55,12.63,11.91,11.81,-187.00,19.33,0.02,20.08,0.05
GC,16.09,15.59,14.78,14.05,13.63,12.19,11.41,11.49,70.00,19.64,0.21,20.62,0.19
GC,16.06,15.66,14.79,14.23,13.63,12.77,12.08,11.94,-220.00,19.07,0.02,19.74,0.05
GC,14.66,14.71,14.82,14.45,14.04,13.26,12.76,12.77,-567.00,16.43,0.00,16.58,0.01
GC,16.73,16.06,14.83,14.13,13.38,12.25,11.50,11.36,-330.00,21.18,0.09,22.50,0.23
GC,16.03,15.74,14.91,14.37,13.80,12.97,12.26,12.23,-351.00,19.20,0.01,20.05,0.02
GC,16.36,15.94,14.93,14.39,13.74,12.85,12.10,11.98,-224.00,19.97,0.02,20.81,0.04
GC,16.05,15.81,14.97,14.48,13.87,13.13,12.49,12.38,-224.00,19.09,0.01,20.23,0.04
GC,15.91,15.82,15.03,14.53,14.01,13.29,12.66,12.62,-138.00,18.73,0.02,19.48,0.03
GC,16.71,16.03,15.05,14.43,13.71,12.64,11.84,11.69,-174.00,21.32,0.06,999.00,999.00
GC,16.07,15.86,15.06,14.54,14.03,13.17,12.52,12.49,-192.00,19.20,0.02,20.43,0.04
GC,15.99,15.86,15.09,14.62,14.03,13.36,12.79,12.75,-363.00,19.02,0.01,20.11,0.02
GC,15.99,15.90,15.13,14.66,14.09,13.39,12.84,12.76,-189.00,18.70,0.02,19.61,0.05
GC,16.09,15.93,15.16,14.66,14.13,13.41,12.76,12.68,-162.00,18.89,0.02,19.72,0.06
GC,16.16,15.97,15.19,14.67,14.12,13.34,12.69,12.63,-106.00,19.03,0.02,19.94,0.04
GC,16.03,15.93,15.21,14.73,14.21,13.47,12.89,12.79,-56.00,18.94,0.02,19.90,0.04
GC,16.80,16.19,15.22,14.64,14.02,13.00,12.24,12.08,-273.00,21.21,0.08,999.00,999.00
GC,15.84,15.71,15.22,14.64,14.12,13.65,13.07,12.98,-315.00,18.68,0.01,20.20,0.04
GC,16.63,16.25,15.23,14.66,13.92,12.82,12.10,11.94,-334.00,21.20,0.14,22.65,0.27
GC,16.38,16.08,15.28,14.62,14.00,13.10,12.35,12.27,-247.00,19.55,0.03,20.21,0.06
GC,16.91,16.30,15.33,14.76,14.05,13.06,12.32,12.15,-59.00,21.24,0.05,21.96,0.10
GC,17.10,16.17,15.33,14.87,14.53,13.57,12.84,12.68,-253.00,21.21,0.06,999.00,999.00
GC,16.62,16.22,15.34,14.80,14.28,13.37,9999.00,12.62,-424.00,19.89,0.11,20.81,0.13
GC,16.44,16.22,15.39,14.84,14.32,13.53,12.88,12.81,-139.00,19.91,0.04,21.67,0.14
GC,16.87,16.54,15.42,14.73,13.95,12.99,12.34,12.27,-478.00,20.58,0.03,21.49,0.07
GC,16.81,16.33,15.42,14.81,14.10,13.04,12.30,12.19,-125.00,20.90,0.03,22.79,0.16
GC,16.62,16.36,15.43,14.82,14.14,13.25,12.52,12.45,-347.00,20.03,0.03,20.64,0.06
GC,16.34,16.41,15.45,14.80,14.22,13.50,12.85,12.73,-469.00,19.72,0.02,21.18,0.06
GC,16.13,16.03,15.45,14.84,14.42,13.93,13.37,13.39,-161.00,19.36,0.02,20.78,0.05
GC,16.58,16.29,15.46,14.93,14.34,13.54,12.80,12.71,-373.00,20.10,0.03,22.07,0.19
GC,16.77,16.42,15.47,14.90,14.22,13.35,12.61,12.50,-539.00,21.18,0.05,999.00,999.00
GC,16.81,16.47,15.47,14.83,14.18,13.32,12.59,12.49,-478.00,20.32,0.02,21.32,0.05
GC,16.23,16.22,15.48,15.00,14.48,13.82,13.17,13.13,-402.00,19.16,0.02,20.28,0.05
GC,16.94,16.49,15.50,14.97,14.33,13.47,12.74,12.63,-237.00,21.41,0.04,999.00,999.00
GC,9999.00,9999.00,15.50,9999.00,9999.00,14.01,13.40,13.37,-355.00,999.00,999.00,999.00,999.00
